"id","name","category","rating","price","area","tag","address","latitude","longitude","phone","business_hours","description","image_url","amap_id","favorite_count","is_featured","ranking_score","created_at","updated_at"
"1","日月昇渔家菜(五一广场店)","美食","4.5","￥80-150","沙河口区","海鲜,必吃榜,家庭聚餐","长江路813号1-3层","","","","10:30-22:00","大连知名海鲜餐厅，2025年必吃榜上榜商家，以新鲜海肠捞饭闻名","","","1200","true","95.50","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"2","品海楼·大连海胆锅贴馆(东港店)","美食","4.8","￥120-200","中山区","海胆,锅贴,创意菜","海军广场街道北斗街46号二七广场内","","","","11:00-21:30","老大连鲜食文化传承者，自有生态供应链，海胆锅贴是招牌","","","1800","true","96.80","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"3","正黄旗海鲜烧烤大排档(延安路总店)","美食","4.8","￥150-300","中山区","海鲜烧烤,网红店,夜宵","延安路17号","","","","11:00-24:00","拥有25年历史的全国知名海鲜餐厅，厚皮活海肠捞饭是特色","","","2500","true","97.20","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"4","UPPER KITCHEN(延安路店)","美食","4.5","￥150-250","中山区","西餐,轻食,约会","延安路68号","","","","10:30-21:00","浪漫西餐厅，特色烤大虾沙拉和烤牛肉薄饼备受好评","","","900","true","92.50","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"5","旅大印象·大连名菜馆(星海店)","美食","4.5","￥100-180","沙河口区","大连老菜,石锅海胆豆腐","中山路辰熙大厦A座4楼","","","","11:00-21:30","经营超过30年的人气网红店，石锅海胆豆腐是招牌菜","","","1350","true","93.80","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"6","海味当家·蒸锅海鲜(星海广场店)","美食","4.7","￥200-350","沙河口区","蒸海鲜,原汁原味,高端","星海广场E区19-21号","","","","11:00-22:00","顶级新鲜海鲜，清蒸锁住原汁原味，虾蟹海鲜粥是招牌","","","1600","true","94.50","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"7","卢布里西餐厅(星海广场店)","美食","5.0","￥180-280","沙河口区","俄式西餐,异国风情","滨海西路555号","","","","11:00-22:00","正宗俄式西餐厅，环境优雅，菜品精致","","","800","false","90.20","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"8","金碧辉煌海鲜烧烤啤酒厂(大连旗舰店)","美食","4.6","￥120-220","甘井子区","烧烤,啤酒,夜生活","","","","","17:00-02:00","大型海鲜烧烤啤酒厂，适合朋友聚会","","","700","false","88.50","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"9","钱库里海鲜自助(星海广场店)","美食","4.5","￥298/位","沙河口区","海鲜自助,高端","","","","","11:00-14:30,17:00-21:30","高端海鲜自助餐厅，品种丰富","","","1100","true","91.80","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
"10","RICH&LIBERTY海景西餐厅","美食","4.8","￥250-400","中山区","海景,西餐,浪漫","","","","","11:00-22:00","拥有绝佳海景的西餐厅，适合约会和纪念日","","","950","true","93.20","2026-03-08 14:32:41.292971+08","2026-03-08 14:32:41.292971+08"
